feature,importance,std
rolling_mean_3,0.07053747295357334,0.00222540913734345
rolling_mean_6,0.04887616185772155,0.0018727589223999092
lag_1,0.045743746880870684,0.0014589283057252144
rolling_max_3,0.02626686909518261,0.000525271236167213
lag_5,0.02610404492820495,0.0013306942639487538
diff_1,0.021529209519755545,0.0010470311400982593
lag_2,0.021488448842368224,0.0008475768617137763
trend_6,0.016054863457873415,0.0007901766758635653
trend_3,0.013908612739377779,0.000449901741414577
lag_4,0.009720679144176203,0.00030507962891437423
rolling_min_6,0.008767170441250948,0.00034392252085217246
rolling_mean_24,0.005770106185254776,0.00020716308611498698
rolling_min_3,0.00497033243026288,0.0001735449788985428
rolling_max_6,0.003421333408011806,6.339509657691342e-05
rolling_mean_12,0.0033662002017426753,0.00014283471516514967
lag_3,0.0015997967257084466,0.00011279752826301594
lag_9,0.0013318188898266748,6.383035891307387e-05
rolling_min_24,0.001032304071683554,4.050817377091346e-05
lag_12,0.001001074992396589,4.645031514046767e-05
day_sin,0.0007513700521092348,2.2721076477010232e-05
diff_24,0.00061520066881251,4.836520832260416e-05
lag_6,0.0005650535836666081,4.683350134755985e-05
lag_8,0.0005012940409537814,4.1095536598985486e-05
rolling_max_24,0.0003371228246336733,3.397554656776167e-05
rolling_std_6,0.00025905089929616486,1.278404539942783e-05
lag_10,0.00020894094911720894,3.241520122902168e-05
lag_13,0.0002082274708152143,2.4868080099733944e-05
day_cos,0.00016923476295493955,1.789526120573225e-05
lag_7,0.0001373691114983977,1.6303098761807946e-05
hour_sin,9.605029895058959e-05,5.785414433909017e-05
rolling_std_12,5.478641106422266e-05,2.3252100326583267e-05
rolling_std_24,2.3672579639111292e-05,9.78263957730442e-06
rolling_std_3,2.2686040745711898e-05,4.1041995814320254e-05
rolling_max_12,9.219022853801384e-06,2.144701524200018e-05
month_sin,0.0,0.0
month_cos,0.0,0.0
month,0.0,0.0
lag_15,-2.6882762168978223e-05,3.4304835488163187e-05
rolling_min_12,-4.678580240473629e-05,3.2661327845398464e-05
day_of_week,-4.713807679150861e-05,1.1887077220780954e-05
lag_11,-6.123847465038246e-05,2.3355867981078057e-05
hour_cos,-0.00010518645547088478,3.7310328910922756e-05
lag_14,-0.00013034679443053588,1.4797701620501683e-05
day_of_year,-0.0003018179349139283,1.9344180592382885e-05
hour,-0.00046939561499454997,3.6436137194400265e-05
